r030,txt,rate,cc,exchangedate
960,СПЗ(спец.права запозичення),7.145461,XDR,05.01.2000
974,Бiлоруський рубль,0.00583,BYR,05.01.2000
978,Євро,5.240295,EUR,05.01.2000
985,Злотий,1.264558,PLN,05.01.2000
51,Вiрменський драм,0.01005164,AMD,05.01.2000
100,Болгарські леви,0.2712867,BGL,05.01.2000
152,Чілійські песо,0.0098282,CLP,05.01.2000
156,Юань Женьмiньбi,0.630018,CNY,05.01.2000
191,Куна,0.687549,HRK,05.01.2000
218,Еквадорський сукре,0.0002754,ECS,05.01.2000
255,Долари США по розр. з Індією,4.17304,___,05.01.2000
344,Гонконгівський долар,0.671269,HKD,05.01.2000
356,Індійська рупія,0.1199081,INR,05.01.2000
364,Іранський ріал,0.0029765,IRR,05.01.2000
368,Іракський динар,16.778064,IQD,05.01.2000
376,Новий ізраїльський шекель,1.252924,ILS,05.01.2000
381,Грузинські ларі,2.661378,GEL,05.01.2000
408,Північнокрейський вон,2.371045,KPW,05.01.2000
410,Вона,0.0046015,KRW,05.01.2000
414,Кувейтські динари,17.1476,KWD,05.01.2000
417,Сом,0.114822,KGS,05.01.2000
422,Ліванський фунт,0.0034511,LBP,05.01.2000
434,Лівійський динар,11.352122,LYD,05.01.2000
470,Мальтійські ліри,12.685554,MTL,05.01.2000
484,Мексіканський песо,0.550707,MXN,05.01.2000
496,Монгольский тугрик,0.00487131,MNT,05.01.2000
554,Новозеландський долар,2.693118,NZD,05.01.2000
586,Пакистанська рупія,0.100555,PKR,05.01.2000
604,Перуанский соль,1.490329,PEN,05.01.2000
642,новий румунські леї,0.00028685,ROL,05.01.2000
682,Саудівський рiял,1.390902,SAR,05.01.2000
704,Донг,0.00037192,VND,05.01.2000
705,Словенські толари,0.026566,SIT,05.01.2000
760,Сирійский фунт,0.121309,SYP,05.01.2000
762,Таджикистанський сомоні,0.0036325,TJS,05.01.2000
818,Єгипетський фунт,1.522118,EGP,05.01.2000
901,Новий тайванський долар,0.165319,TWD,05.01.2000
952,Франки CFA-BCEAO,0.008048,XOF,05.01.2000
986,Бразильський реал,2.851216,BRL,05.01.2000
31,Азербайджанський манат,0.00119207,AZM,06.01.2000
36,Австралійський долар,3.430518,AUD,06.01.2000
40,Австрійський шилінг,0.393229,ATS,06.01.2000
56,Бельгійський франк,0.1341341,BEF,06.01.2000
124,Канадський долар,3.591739,CAD,06.01.2000
203,Чеська крона,0.146094,CZK,06.01.2000
208,Данська крона,0.726849,DKK,06.01.2000
